,angle_deg,freq_THz,trans
11,0.0,220.0,0.6025
5,0.0,221.4286,0.5683
10,0.0,222.8571,0.5312
9,0.0,224.2857,0.4914
3,0.0,225.7143,0.4492
4,0.0,227.1429,0.4051
7,0.0,228.5714,0.3599
8,0.0,230.0,0.3144
1,0.0,231.4286,0.2696
0,0.0,232.8571,0.2263
2,0.0,234.2857,0.1857
6,0.0,235.7143,0.1486
16,0.0,237.1429,0.1157
15,0.0,238.5714,0.0876
14,0.0,240.0,0.0645
17,0.0,241.4286,0.0466
13,0.0,242.8571,0.0336
12,0.0,244.2857,0.0249
55,0.0,245.7143,0.0201
59,0.0,247.1429,0.0183
52,0.0,248.5714,0.0186
62,0.0,250.0,0.0202
58,0.0,251.4286,0.0223
50,0.0,252.8571,0.0241
51,0.0,254.2857,0.0254
48,0.0,255.7143,0.0256
60,0.0,257.1429,0.0248
61,0.0,258.5714,0.023
57,0.0,260.0,0.0206
53,0.0,261.4286,0.0178
49,0.0,262.8571,0.0152
54,0.0,264.2857,0.0133
24,0.0,265.7143,0.0124
27,0.0,267.1429,0.0129
26,0.0,268.5714,0.015
30,0.0,270.0,0.0189
28,0.0,271.4286,0.0245
29,0.0,272.8571,0.0315
31,0.0,274.2857,0.0397
25,0.0,275.7143,0.0486
34,0.0,277.1429,0.0578
32,0.0,278.5714,0.0666
35,0.0,280.0,0.0747
33,0.0,281.4286,0.0814
38,0.0,282.8571,0.0863
39,0.0,284.2857,0.0891
43,0.0,285.7143,0.0897
42,0.0,287.1429,0.0879
36,0.0,288.5714,0.0838
37,0.0,290.0,0.0776
64,0.6897,220.0,0.6024
65,0.6897,221.4286,0.5681
66,0.6897,222.8571,0.5307
67,0.6897,224.2857,0.4906
70,0.6897,225.7143,0.4481
68,0.6897,227.1429,0.4037
69,0.6897,228.5714,0.3583
71,0.6897,230.0,0.3126
72,0.6897,231.4286,0.2677
75,0.6897,232.8571,0.2246
73,0.6897,234.2857,0.1841
74,0.6897,235.7143,0.1473
76,0.6897,237.1429,0.1148
77,0.6897,238.5714,0.0871
78,0.6897,240.0,0.0645
85,0.6897,241.4286,0.047
88,0.6897,242.8571,0.0343
89,0.6897,244.2857,0.026
83,0.6897,245.7143,0.0214
102,0.6897,247.1429,0.0196
96,0.6897,248.5714,0.0198
97,0.6897,250.0,0.0212
95,0.6897,251.4286,0.023
101,0.6897,252.8571,0.0245
100,0.6897,254.2857,0.0253
99,0.6897,255.7143,0.0252
103,0.6897,257.1429,0.0241
104,0.6897,258.5714,0.0221
80,0.6897,260.0,0.0195
81,0.6897,261.4286,0.0167
87,0.6897,262.8571,0.0142
86,0.6897,264.2857,0.0123
79,0.6897,265.7143,0.0117
106,0.6897,267.1429,0.0124
105,0.6897,268.5714,0.0149
107,0.6897,270.0,0.019
110,0.6897,271.4286,0.0248
108,0.6897,272.8571,0.0321
109,0.6897,274.2857,0.0404
111,0.6897,275.7143,0.0494
112,0.6897,277.1429,0.0585
116,0.6897,278.5714,0.0673
113,0.6897,280.0,0.0752
115,0.6897,281.4286,0.0818
117,0.6897,282.8571,0.0866
119,0.6897,284.2857,0.0894
120,0.6897,285.7143,0.0898
114,0.6897,287.1429,0.0879
126,0.6897,288.5714,0.0838
124,0.6897,290.0,0.0775
128,1.3793,220.0,0.6021
118,1.3793,221.4286,0.5671
125,1.3793,222.8571,0.529
127,1.3793,224.2857,0.4881
132,1.3793,225.7143,0.4447
133,1.3793,227.1429,0.3995
147,1.3793,228.5714,0.3534
146,1.3793,230.0,0.3074
148,1.3793,231.4286,0.2624
149,1.3793,232.8571,0.2194
150,1.3793,234.2857,0.1796
151,1.3793,235.7143,0.1436
153,1.3793,237.1429,0.1122
155,1.3793,238.5714,0.0858
154,1.3793,240.0,0.0646
158,1.3793,241.4286,0.0484
159,1.3793,242.8571,0.0369
123,1.3793,244.2857,0.0294
130,1.3793,245.7143,0.0253
138,1.3793,247.1429,0.0237
136,1.3793,248.5714,0.0237
141,1.3793,250.0,0.0245
129,1.3793,251.4286,0.0254
131,1.3793,252.8571,0.0259
134,1.3793,254.2857,0.0256
135,1.3793,255.7143,0.0243
157,1.3793,257.1429,0.0223
152,1.3793,258.5714,0.0195
145,1.3793,260.0,0.0165
156,1.3793,261.4286,0.0135
166,1.3793,262.8571,0.0112
161,1.3793,264.2857,0.0098
169,1.3793,265.7143,0.0098
172,1.3793,267.1429,0.0113
173,1.3793,268.5714,0.0146
170,1.3793,270.0,0.0195
174,1.3793,271.4286,0.026
160,1.3793,272.8571,0.0337
163,1.3793,274.2857,0.0424
162,1.3793,275.7143,0.0515
175,1.3793,277.1429,0.0607
177,1.3793,278.5714,0.0693
164,1.3793,280.0,0.077
165,1.3793,281.4286,0.0832
176,1.3793,282.8571,0.0877
178,1.3793,284.2857,0.0901
180,1.3793,285.7143,0.0903
171,1.3793,287.1429,0.0882
179,1.3793,288.5714,0.0838
196,1.3793,290.0,0.0775
198,2.069,220.0,0.6011
199,2.069,221.4286,0.5652
200,2.069,222.8571,0.526
202,2.069,224.2857,0.4838
205,2.069,225.7143,0.4391
201,2.069,227.1429,0.3928
203,2.069,228.5714,0.3458
197,2.069,230.0,0.2991
193,2.069,231.4286,0.2539
194,2.069,232.8571,0.2114
208,2.069,234.2857,0.1725
207,2.069,235.7143,0.138
181,2.069,237.1429,0.1085
182,2.069,238.5714,0.0843
183,2.069,240.0,0.0653
190,2.069,241.4286,0.0513
188,2.069,242.8571,0.0417
192,2.069,244.2857,0.0357
212,2.069,245.7143,0.0325
209,2.069,247.1429,0.0312
211,2.069,248.5714,0.0308
195,2.069,250.0,0.0307
217,2.069,251.4286,0.0302
219,2.069,252.8571,0.029
220,2.069,254.2857,0.0268
223,2.069,255.7143,0.0238
225,2.069,257.1429,0.0202
224,2.069,258.5714,0.0162
226,2.069,260.0,0.0125
210,2.069,261.4286,0.0093
232,2.069,262.8571,0.0071
213,2.069,264.2857,0.0064
215,2.069,265.7143,0.0073
214,2.069,267.1429,0.01
216,2.069,268.5714,0.0144
218,2.069,270.0,0.0205
221,2.069,271.4286,0.028
249,2.069,272.8571,0.0365
234,2.069,274.2857,0.0457
222,2.069,275.7143,0.0551
252,2.069,277.1429,0.0642
237,2.069,278.5714,0.0726
254,2.069,280.0,0.0799
255,2.069,281.4286,0.0857
