,angle_deg,freq_THz,trans
26,0.0,220.0,0.6025
23,0.0,221.4286,0.5683
27,0.0,222.8571,0.5312
38,0.0,224.2857,0.4914
35,0.0,225.7143,0.4492
30,0.0,227.1429,0.4051
29,0.0,228.5714,0.3599
25,0.0,230.0,0.3144
22,0.0,231.4286,0.2695
24,0.0,232.8571,0.2263
49,0.0,234.2857,0.1857
46,0.0,235.7143,0.1486
40,0.0,237.1429,0.1157
45,0.0,238.5714,0.0876
42,0.0,240.0,0.0645
34,0.0,241.4286,0.0466
48,0.0,242.8571,0.0336
33,0.0,244.2857,0.025
43,0.0,245.7143,0.0201
37,0.0,247.1429,0.0183
36,0.0,248.5714,0.0186
32,0.0,250.0,0.0202
41,0.0,251.4286,0.0222
31,0.0,252.8571,0.0241
39,0.0,254.2857,0.0253
47,0.0,255.7143,0.0256
44,0.0,257.1429,0.0248
50,0.0,258.5714,0.023
11,0.0,260.0,0.0206
13,0.0,261.4286,0.0178
16,0.0,262.8571,0.0152
12,0.0,264.2857,0.0133
69,0.0,265.7143,0.0124
58,0.0,267.1429,0.0129
53,0.0,268.5714,0.015
59,0.0,270.0,0.0189
52,0.0,271.4286,0.0245
51,0.0,272.8571,0.0315
62,0.0,274.2857,0.0397
63,0.0,275.7143,0.0486
61,0.0,277.1429,0.0578
65,0.0,278.5714,0.0666
66,0.0,280.0,0.0747
72,0.0,281.4286,0.0813
73,0.0,282.8571,0.0863
89,0.0,284.2857,0.0891
86,0.0,285.7143,0.0897
94,0.0,287.1429,0.0879
88,0.0,288.5714,0.0838
85,0.0,290.0,0.0776
87,0.6897,220.0,0.6025
99,0.6897,221.4286,0.5683
93,0.6897,222.8571,0.5312
91,0.6897,224.2857,0.4913
97,0.6897,225.7143,0.4491
96,0.6897,227.1429,0.405
95,0.6897,228.5714,0.3597
70,0.6897,230.0,0.3142
71,0.6897,231.4286,0.2694
102,0.6897,232.8571,0.2262
100,0.6897,234.2857,0.1856
101,0.6897,235.7143,0.1485
103,0.6897,237.1429,0.1156
98,0.6897,238.5714,0.0875
74,0.6897,240.0,0.0645
79,0.6897,241.4286,0.0466
75,0.6897,242.8571,0.0335
104,0.6897,244.2857,0.0249
77,0.6897,245.7143,0.0201
81,0.6897,247.1429,0.0183
84,0.6897,248.5714,0.0186
106,0.6897,250.0,0.0202
90,0.6897,251.4286,0.0222
92,0.6897,252.8571,0.0241
116,0.6897,254.2857,0.0254
108,0.6897,255.7143,0.0256
109,0.6897,257.1429,0.0248
118,0.6897,258.5714,0.023
110,0.6897,260.0,0.0206
111,0.6897,261.4286,0.0178
112,0.6897,262.8571,0.0152
113,0.6897,264.2857,0.0133
131,0.6897,265.7143,0.0124
143,0.6897,267.1429,0.0129
145,0.6897,268.5714,0.015
147,0.6897,270.0,0.0189
127,0.6897,271.4286,0.0245
126,0.6897,272.8571,0.0315
124,0.6897,274.2857,0.0398
123,0.6897,275.7143,0.0487
149,0.6897,277.1429,0.0578
148,0.6897,278.5714,0.0667
